class_id,precision,recall,f1_score,support
0,0.0,0.0,0.0,0.0
1,96.8285152960988,94.0567066521265,95.42248651638778,3668.0
2,85.19108280254777,94.19014084507043,89.4648829431438,568.0
3,90.0990099009901,96.80851063829788,93.33333333333333,564.0
4,94.0909090909091,79.46257197696737,86.16024973985432,521.0
5,74.66124661246613,92.14046822742475,82.48502994011976,598.0
6,92.20489977728286,83.46774193548387,87.61904761904762,496.0
7,96.1038961038961,91.84397163120568,93.92565729827741,564.0
8,78.6908077994429,93.69817578772802,85.54125662376987,603.0
9,77.3784355179704,68.66791744840526,72.76341948310139,533.0
10,94.3127962085308,76.09942638623328,84.23280423280424,523.0
11,93.05555555555556,95.91002044989774,94.46122860020141,489.0
12,74.4186046511628,96.96969696969697,84.21052631578947,528.0
13,92.64214046822742,92.17970049916805,92.41034195162635,601.0
14,98.49462365591398,86.25235404896422,91.96787148594377,531.0
15,92.83018867924528,87.07964601769912,89.86301369863014,565.0
16,98.4,96.66011787819254,97.52229930624381,509.0
