epoch,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16
1,,0.0,58.274647887323944,68.08510638297872,29.558541266794627,47.82608695652174,54.83870967741935,77.12765957446808,48.92205638474295,72.04502814258912,53.53728489483748,76.07361963190183,79.54545454545455,92.84525790349417,29.001883239171374,43.716814159292035,87.22986247544205
2,,39.39476553980371,76.40845070422536,94.50354609929079,77.35124760076775,87.45819397993311,85.28225806451613,86.87943262411348,46.766169154228855,78.04878048780488,76.8642447418738,89.57055214723927,63.25757575757576,88.35274542429285,90.20715630885122,67.07964601769912,71.51277013752456
3,,38.467829880043624,69.19014084507042,83.33333333333333,75.04798464491363,99.33110367892976,87.90322580645162,83.86524822695036,65.67164179104478,29.643527204502814,47.03632887189293,86.9120654396728,85.60606060606061,75.37437603993344,93.22033898305085,55.75221238938053,83.49705304518665
4,,80.37077426390404,54.225352112676056,76.77304964539007,35.12476007677543,80.93645484949833,89.71774193548387,33.333333333333336,98.8391376451078,12.570356472795497,24.47418738049713,48.261758691206545,51.32575757575758,75.04159733777038,55.367231638418076,90.08849557522124,59.921414538310415
5,,76.7175572519084,94.36619718309859,96.80851063829788,75.81573896353167,90.80267558528428,77.8225806451613,95.2127659574468,80.43117744610282,60.22514071294559,67.87762906309752,79.75460122699387,92.99242424242425,83.19467554076539,86.44067796610169,77.69911504424779,96.2671905697446
6,,67.2846237731734,93.30985915492958,78.72340425531915,69.86564299424184,97.49163879598662,92.54032258064517,84.21985815602837,70.97844112769486,74.10881801125704,76.8642447418738,95.50102249488752,97.1590909090909,90.51580698835275,88.13559322033899,78.05309734513274,96.8565815324165
7,,80.58887677208288,80.45774647887323,90.95744680851064,52.39923224568138,75.41806020066889,85.48387096774194,47.695035460992905,97.34660033167496,57.5984990619137,52.39005736137667,62.98568507157464,53.21969696969697,90.01663893510815,68.7382297551789,92.92035398230088,72.4950884086444
8,,76.60850599781898,77.46478873239437,97.34042553191489,84.26103646833013,89.1304347826087,84.87903225806451,78.72340425531915,82.91873963515755,78.23639774859286,79.54110898661568,90.59304703476482,93.37121212121212,84.35940099833611,86.62900188323917,88.67256637168141,95.08840864440079
9,,74.7546346782988,69.01408450704226,95.92198581560284,70.24952015355086,69.56521739130434,83.26612903225806,54.60992907801418,89.71807628524047,45.40337711069419,58.12619502868069,70.96114519427402,48.86363636363637,86.35607321131448,25.423728813559322,93.09734513274336,75.44204322200393
10,,77.23555070883314,83.45070422535211,82.26950354609929,61.42034548944338,95.65217391304348,89.51612903225806,71.98581560283688,89.38640132669984,61.350844277673545,84.1300191204589,93.66053169734151,93.18181818181819,92.34608985024958,87.75894538606403,80.17699115044248,97.05304518664047
11,,97.27371864776445,90.49295774647888,88.65248226950355,57.773512476007674,74.41471571906355,57.25806451612903,73.75886524822695,98.00995024875621,10.131332082551594,53.154875717017205,84.04907975460122,94.31818181818181,91.51414309484193,71.1864406779661,85.48672566371681,94.69548133595285
12,,86.47764449291166,94.19014084507042,93.61702127659575,84.26103646833013,87.45819397993311,86.69354838709677,91.13475177304964,92.20563847429518,69.9812382739212,78.96749521988528,96.52351738241309,90.15151515151516,90.8485856905158,86.44067796610169,85.84070796460178,96.8565815324165
13,,80.23446019629226,88.38028169014085,93.97163120567376,77.15930902111324,99.1638795986622,91.12903225806451,65.78014184397163,88.72305140961858,46.71669793621013,87.5717017208413,96.93251533742331,89.77272727272727,92.17970049916805,84.93408662900188,88.67256637168141,88.99803536345776
14,,81.81570338058887,82.74647887323944,94.14893617021276,82.34165067178503,97.32441471571906,88.91129032258064,93.61702127659575,85.24046434494196,57.5984990619137,85.8508604206501,97.34151329243353,85.41666666666667,91.01497504159734,85.31073446327683,89.02654867256638,95.48133595284872
15,,87.10468920392584,86.61971830985915,68.79432624113475,74.6641074856046,94.31438127090301,61.895161290322584,74.822695035461,86.23548922056385,47.27954971857411,67.49521988527725,97.13701431492842,97.91666666666667,91.18136439267887,83.80414312617702,86.90265486725664,96.8565815324165
16,,89.28571428571429,93.30985915492958,96.98581560283688,90.21113243761997,85.95317725752508,80.64516129032258,88.65248226950355,79.60199004975124,75.60975609756098,90.82217973231357,89.77505112474438,85.98484848484848,92.17970049916805,83.05084745762711,89.5575221238938,95.28487229862475
17,,89.47655398037078,97.1830985915493,94.8581560283688,82.14971209213051,93.64548494983278,86.08870967741936,92.02127659574468,91.54228855721394,57.22326454033771,72.65774378585085,97.95501022494888,93.93939393939394,91.846921797005,77.21280602636534,89.5575221238938,94.10609037328095
18,,77.12649945474372,91.72535211267606,89.18439716312056,75.04798464491363,97.32441471571906,90.3225806451613,84.9290780141844,90.87893864013267,74.29643527204503,75.33460803059273,96.31901840490798,95.45454545454545,91.68053244592346,90.3954802259887,81.76991150442478,96.46365422396856
19,,88.03162486368593,93.66197183098592,89.18439716312056,72.93666026871401,94.48160535117057,91.53225806451613,90.60283687943263,91.04477611940298,65.10318949343339,84.1300191204589,98.3640081799591,92.42424242424242,91.18136439267887,86.62900188323917,89.20353982300885,96.07072691552062
20,,94.0567066521265,94.19014084507042,96.80851063829788,79.46257197696737,92.14046822742475,83.46774193548387,91.84397163120568,93.69817578772803,68.66791744840525,76.09942638623328,95.91002044989776,96.96969696969697,92.17970049916805,86.25235404896422,87.07964601769912,96.66011787819254
